"x","y","u"
1,5.8,133.663282
1,5.9,133.445864
1,6,133.237936
1,6.1,133.039331
1,6.2,132.849857
1,6.3,132.669296
1,6.4,132.497412
1,6.5,132.333955
1,6.6,132.178661
1,6.7,132.031259
1,6.8,131.891469
1,6.9,131.75901
1,7,131.633598
1,7.1,131.514949
1,7.2,131.402779
1,7.3,131.29681
1,7.4,131.196765
1,7.5,131.102374
1,7.6,131.013373
1,7.7,130.929503
1,7.8,130.850513
1,7.9,130.776159
1,8,130.706207
1,8.1,130.640429
1,8.2,130.578605
1,8.3,130.520526
1,8.4,130.465988
1,8.5,130.414799
1,8.6,130.366771
1,8.7,130.321729
1,8.8,130.279503
1,8.9,130.239931
1,9,130.202861
1,9.1,130.168145
1,9.2,130.135646
1,9.3,130.105231
1,9.4,130.076777
1,9.5,130.050164
1,9.6,130.02528
1,9.7,130.002021
1,9.8,129.980285
1,9.9,129.959979
1,10,129.941012
1.1,1.2,132.467369
1.1,1.3,133.958925
1.1,1.4,135.296073
1.1,1.5,136.487132
1.1,1.6,137.540356
1.1,1.7,138.463909
1.1,1.8,139.26583
1.1,1.9,139.954016
1.1,2,140.536191
1.1,2.1,141.019886
1.1,2.2,141.412418
1.1,2.3,141.720871
1.1,2.4,141.952085
1.1,2.5,142.112633
1.1,2.6,142.208819
1.1,2.7,142.246662
1.1,2.8,142.231891
1.1,2.9,142.169943
1.1,3,142.065956
1.1,3.1,141.924769
1.1,3.2,141.750926
1.1,3.3,141.548675
1.1,3.4,141.321975
1.1,3.5,141.074501
1.1,3.6,140.809651
1.1,3.7,140.530555
1.1,3.8,140.240083
1.1,3.9,139.940858
1.1,4,139.635262
1.1,4.1,139.325453
1.1,4.2,139.01337
1.1,4.3,138.700751
1.1,4.4,138.389144
1.1,4.5,138.079914
1.1,4.6,137.774261
1.1,4.7,137.473229
1.1,4.8,137.177718
1.1,4.9,136.888495
1.1,5,136.606205
1.1,5.1,136.33138
1.1,5.2,136.064453
1.1,5.3,135.805763
1.1,5.4,135.555566
1.1,5.5,135.314042
1.1,5.6,135.081307
1.1,5.7,134.857415
1.1,5.8,134.642369
1.1,5.9,134.436124
1.1,6,134.238597
1.1,6.1,134.049669
1.1,6.2,133.869192
1.1,6.3,133.69699
1.1,6.4,133.53287
1.1,6.5,133.376619
1.1,6.6,133.228011
1.1,6.7,133.086807
1.1,6.8,132.952763
1.1,6.9,132.825628
1.1,7,132.705145
1.1,7.1,132.591059
1.1,7.2,132.483112
1.1,7.3,132.381049
1.1,7.4,132.284616
1.1,7.5,132.193564
1.1,7.6,132.107648
1.1,7.7,132.026629
1.1,7.8,131.950272
1.1,7.9,131.878349
1.1,8,131.810642
1.1,8.1,131.746934
1.1,8.2,131.687022
1.1,8.3,131.630705
1.1,8.4,131.577793
1.1,8.5,131.528103
1.1,8.6,131.481457
1.1,8.7,131.437689
1.1,8.8,131.396636
