"x","u"
8.98,100.182412
8.99,100.177278
9,100.172216
9.01,100.168892
9.02,100.164913
9.03,100.159363
9.04,100.155568
9.05,100.151503
9.06,100.147081
9.07,100.143288
9.08,100.138701
9.09,100.134094
9.1,100.130015
9.11,100.126826
9.12,100.121096
9.13,100.117928
9.14,100.113648
9.15,100.109631
9.16,100.106035
9.17,100.102115
9.18,100.098367
9.19,100.093827
9.2,100.090398
9.21,100.086454
9.22,100.082878
9.23,100.07873
9.24,100.075328
9.25,100.070769
9.26,100.066689
9.27,100.063521
9.28,100.060185
9.29,100.056178
9.3,100.052842
9.31,100.049461
9.32,100.046054
9.33,100.04241
9.34,100.038694
9.35,100.035165
9.36,100.031647
9.37,100.028354
9.38,100.024678
9.39,100.020996
9.4,100.018348
9.41,100.013879
9.42,100.011321
9.43,100.008525
9.44,100.00491
9.45,100.001323
9.46,99.997817
9.47,99.995139
9.48,99.991999
9.49,99.988149
9.5,99.985145
9.51,99.982469
9.52,99.978995
9.53,99.976343
9.54,99.973964
9.55,99.969988
9.56,99.967456
9.57,99.964408
9.58,99.961211
9.59,99.957916
9.6,99.955607
9.61,99.953282
9.62,99.949454
9.63,99.946621
9.64,99.943983
9.65,99.941146
9.66,99.938014
9.67,99.934887
9.68,99.933371
9.69,99.930283
9.7,99.926998
9.71,99.925024
9.72,99.92199
9.73,99.919268
9.74,99.916498
9.75,99.914457
9.76,99.911464
9.77,99.908037
9.78,99.905725
9.79,99.903675
9.8,99.901065
9.81,99.898697
9.82,99.896457
9.83,99.893598
9.84,99.891114
9.85,99.88901
9.86,99.886441
9.87,99.883453
9.88,99.881207
9.89,99.878941
9.9,99.876735
9.91,99.874196
9.92,99.871779
9.93,99.86951
9.94,99.867353
9.95,99.865177
9.96,99.862887
9.97,99.860708
9.98,99.858425
9.99,99.856418
10,99.854388
